Date,Ticker,Open,High,Low,Close,Volume
2023-07-31,AAPL,193.3493708168966,193.7734336784224,192.560428204252,193.73397827148438,38824100
2023-08-01,AAPL,193.52690392813534,194.0101198390568,192.58016971551623,192.90560913085938,35175100
2023-08-02,AAPL,192.3434921357412,192.48155598125388,189.19760772385698,189.91751098632812,50389300
2023-08-03,AAPL,188.92148694956984,189.71041463976601,188.0536484329567,188.52700805664062,61235200
2023-08-04,AAPL,182.95508679019278,184.789371855198,179.40485277798012,179.47389221191406,115956800
2023-08-07,AAPL,179.6119861039443,180.59816071157974,174.89807268327345,176.37733459472656,97576100
2023-08-08,AAPL,177.20574441802665,177.77772758258462,175.12491507972354,177.31422424316406,67823000
2023-08-09,AAPL,178.36941190145535,178.42857997538025,174.5627769846933,175.72647094726562,60378500
2023-08-10,AAPL,176.99863993985085,178.2510860859084,175.14464164213348,175.509521484375,54686900
2023-08-11,AAPL,175.10461152163393,176.38835756307438,174.34422750725284,175.5687255859375,52036700
2023-08-14,AAPL,175.74649049543365,177.44500246999712,175.09473274674426,177.21788024902344,43675600
2023-08-15,AAPL,176.64511288490613,177.2376075606865,174.83797474088598,175.23297119140625,43622600
2023-08-16,AAPL,174.91699954220002,176.30937200366554,174.29486573787133,174.36399841308594,46964900
2023-08-17,AAPL,174.92684921501044,175.2922216904398,171.3125728746346,171.82608032226562,66062900
2023-08-18,AAPL,170.14737119397137,172.91239237884375,169.8116226038202,172.3100128173828,61172200
2023-08-21,AAPL,172.88272795365145,173.92948217703207,171.56934282132403,173.64309692382812,46311900
2023-08-22,AAPL,174.8478727981476,175.46012191641384,174.04799506153495,175.0157470703125,42038900
2023-08-23,AAPL,176.28960964053493,179.28175219727777,176.1019810531239,178.85711669921875,52722800
2023-08-24,AAPL,178.4127876208845,178.8374232276998,173.8110039705464,174.1763916015625,54945800
2023-08-25,AAPL,175.16389608553052,176.91177162464882,173.62338845938785,176.37852478027344,51449600
2023-08-28,AAPL,177.83999456976295,178.33374768816518,176.31924159506977,177.93875122070312,43820700
2023-08-29,AAPL,177.45488030453177,182.58991008586239,177.2573820568172,181.8196563720703,53003900
