date,ticker,close,ret,vol_5,vol_10,vol_30,target_vol_fwd
2023-09-12,AAPL,174.0973663330078,-0.017060687406958097,0.01902177578220443,0.01932544217664228,0.01667270459764485,0.011278616462828595
2023-09-13,AAPL,172.03347778320312,-0.0118547947810822,0.014844206121680727,0.01756702999479289,0.016743389302460943,0.014198481716256393
2023-09-14,AAPL,173.54437255859375,0.008782562527130056,0.011669529846435565,0.016208493011164896,0.016739111103501292,0.014146228612458745
2023-09-15,AAPL,172.823486328125,-0.004153901505652979,0.011263269103031983,0.016017818442983806,0.016720000148728716,0.014381255071665332
2023-09-18,AAPL,175.7465057373047,0.016913322785480744,0.014152546664221112,0.017107035772756813,0.014744882762668733,0.011982240449573156
2023-09-19,AAPL,176.832763671875,0.0061808223726165235,0.011278616462828595,0.017410171255498,0.014449634872887845,0.014016232606044135
2023-09-20,AAPL,173.2974853515625,-0.01999221324659295,0.014198481716256393,0.014903179443504578,0.014872551302946499,0.012429747508707489
2023-09-21,AAPL,171.7569580078125,-0.008889496236052064,0.014146228612458745,0.012225544477162334,0.014871306012337632,0.012647520310009064
2023-09-22,AAPL,172.60623168945312,0.004944624610794479,0.014381255071665332,0.012306378400613868,0.014905735439646618,0.012348521120734446
2023-09-25,AAPL,173.8800811767578,0.007380089784918997,0.011982240449573156,0.012366515086279105,0.01497383060948383,0.014362524876126038
2023-09-26,AAPL,169.8115997314453,-0.02339820304763196,0.014016232606044135,0.013359436678852539,0.015438070600903051,0.00961433072942631
2023-09-27,AAPL,168.30068969726562,-0.00889756669490882,0.012429747508707489,0.013158323138718488,0.015392836372551622,0.00827190526539328
2023-09-28,AAPL,168.55746459960938,0.0015256913254819704,0.012647520310009064,0.012682156512363206,0.015384183791578368,0.008272819773436376
2023-09-29,AAPL,169.07095336914062,0.00304637217195336,0.012348521120734446,0.012803009735470564,0.015184249090723568,0.009211422568726094
2023-10-02,AAPL,171.57923889160156,0.014835697513247537,0.014362524876126038,0.012472439661789455,0.015429350536660991,0.008296611277281438
2023-10-03,AAPL,170.24609375,-0.007769851120762894,0.00961433072942631,0.012192217245752604,0.015420077015695088,0.006507604153488918
2023-10-04,AAPL,171.49034118652344,0.007308522675125717,0.00827190526539328,0.011156676788818433,0.015409189654795536,0.006523039148402575
2023-10-05,AAPL,172.7247314453125,0.007198016227902171,0.008272819773436376,0.011050636602797124,0.01489279996810796,0.006575807406987156
